iter	RMSE
0	0.9907562871
1	0.9828911752
2	0.9741968359
3	0.9640712934
4	0.958509103
5	0.9499974479
6	0.9410059338
7	0.9323747402
8	0.9246939914
9	0.9151276229
10	0.9077176608
11	0.9013106918
12	0.8923992117
13	0.885289145
14	0.8776853082
15	0.8689923155
16	0.8624857228
17	0.8566032937
18	0.8501957249
19	0.8422873798
20	0.8360338331
21	0.8290234821
22	0.822197855
23	0.8163097623
24	0.8091357881
25	0.8019689316
26	0.7958149121
27	0.7908332292828	0.7846929072929	0.77857737230	0.6032484779
31	0.593739258
32	0.5845218502
33	0.5750662689
34	0.5661159247
35	0.558123165
36	0.5502417362
37	0.5415586708
38	0.5343923532
39	0.5264385722
40	0.5197610916
41	0.5122141975
42	0.5045371941
43	0.4978920437
44	0.4913424279
45	0.4854247029
46	0.4796250901
47	0.4738099943
48	0.468250788
49	0.4631212069
50	0.4569778954
51	0.4519788687
52	0.4464746497
53	0.440595503
54	0.4359478068
55	0.4314758165
56	0.4263187755
57	0.420176821
58	0.4152558221
59	0.4104816107
60	0.4053825161
61	0.4006594549
62	0.3961782316
63	0.3916976382
64	0.3870685509
65	0.3825447464
66	0.3785993045
67	0.3748009929
68	0.3704863053
69	0.3664062513
70	0.3626837536
71	0.3590765009
72	0.3553094268
73	0.3515465607
74	0.3474136939
75	0.3436890862
76	0.3403611813
77	0.3365844551
78	0.3336427875
79	0.3300272155
80	0.3266738516
81	0.3230793041
82	0.3205249906
83	0.3186974426
84	0.3157256241
85	0.3126001779
86	0.3094588569
87	0.3062052122
88	0.3036214855
89	0.3002183281
90	0.2973254695
91	0.294887162
92	0.2920998136
93	0.2894605909
94	0.2869028299
95	0.2840876752
96	0.2815627856
97	0.2795182876
98	0.2768699271
99	0.2746603627
100	0.2720774
101	0.2697551561
102	0.2674716525
103	0.264607376
104	0.2626113561
105	0.2599139632
106	0.2575059306
107	0.2551261351
108	0.2532753244
109	0.2512907569
110	0.2490643651
111	0.2474675361
112	0.2456160289
113	0.2434663544
114	0.2416217329
115	0.2395738495
116	0.2373687367
117	0.2350977509
118	0.2333804003
119	0.2312939464
120	0.2297989051
121	0.2278613885
122	0.2259777936
123	0.2238514531
124	0.22174494
125	0.2200458162
126	0.2186034403
127	0.2163399968
128	0.2147773737
129	0.2132310877
130	0.2109027618
131	0.2091973328
132	0.2081939661
133	0.2063713749
134	0.204995423
135	0.2035287855
136	0.2018142207
137	0.2003076653
138	0.1984968023
139	0.1965017506
140	0.1951196767
141	0.1938298485
142	0.1919474896
143	0.1905213401
144	0.1894119801
145	0.1878796923
