iter	Passed	Remaining
0	140	140590
1	141	70588
2	142	47258
3	143	35693
4	144	28767
5	145	24161
6	147	20884
7	148	18389
8	149	16496
9	151	14989
10	152	13727
11	153	12670
12	155	11792
13	156	11055
14	158	10397
15	159	9821
16	161	9312
17	162	8856
18	164	8517
19	166	8177
20	168	7841
21	169	7528
22	170	7253
23	171	6982
24	173	6748
25	174	6532
26	175	6340
27	176	6144
28	178	5972
29	179	5813
3030	200	6253131	201	6103232	203	5953333	205	5823434	207	5711
35	208	5594
36	211	5505
37	213	5397
38	214	5295
39	216	5197
40	218	5104
41	220	5029
42	222	4948
43	224	4868
44	226	4796
45	227	4727
46	229	4662
47	231	4598
48	233	4529
49	235	4467
50	236	4404
51	238	4344
52	240	4289
53	241	4233
54	243	4179
55	244	4126
56	246	4084
57	248	4036
58	249	3983
59	251	3939
60	253	3895
61	254	3853
62	255	3799
63	257	3760
64	259	3729
65	260	3692
66	262	3655
67	264	3621
68	265	3587
69	267	3557
70	269	3526
71	271	3496
72	272	3461
73	274	3431
74	275	3403
75	277	3375
76	279	3346
77	280	3319
78	282	3292
79	283	3265
80	285	3237
81	286	3211
82	288	3186
83	289	3158
84	291	3138
85	293	3119
86	295	3098
87	331	3432
88	333	3410
89	334	3383
90	336	3361
91	340	3359
92	342	3344
93	345	3325
94	347	3309
95	349	3288
96	351	3269
97	357	3295
98	359	3274
99	361	3255
100	363	3234
101	365	3213
102	397	3464
103	399	3441
104	401	3423
105	404	3414
106	406	3391
107	409	3383
108	411	3362
109	418	3389
110	420	3369
111	422	3350
112	425	3337
113	428	3328
114	429	3306
115	434	3314
116	437	3300
117	439	3288
118	448	3321
119	450	3303
120	452	3285
121	454	3268
122	459	3278
123	461	3260
124	463	3241
125	464	3223
126	470	3231
127	472	3217
128	474	3202
129	502	3359
130	503	3342
131	505	3324
132	507	3307
133	509	3290
134	510	3274
135	513	3260
136	514	3243
137	516	3227
138	518	3209
139	519	3190
140	521	3175
141	522	3159
142	536	3216
143	538	3198
144	540	3184
145	541	3169
146	543	3154
147	545	3139
148	547	3125
149	548	3110
150	550	3097
151	552	3082
152	554	3068
153	555	3053
154	557	3040
155	559	3026
156	563	3025
157	565	3014
158	588	3114
159	590	3100
160	593	3094
161	595	3081
162	597	3068
163	599	3055
164	601	3041
165	602	3029
166	605	3017
167	606	3004
168	613	3015
169	614	3001
170	616	2989
171	618	2976
172	620	2964
173	621	2952
174	624	2944
175	626	2932
176	627	2919
177	629	2908
178	632	2899
179	633	2887
180	635	2875
181	637	2863
182	638	2852
183	640	2840
184	642	2830
185	644	2818
186	645	2807
187	647	2796
188	649	2786
189	651	2777
190	653	2766
191	655	2757
192	657	2748
193	659	2739
194	661	2729
195	662	2718
196	664	2708
197	666	2699
198	668	2689
199	669	2679
200	671	2670
201	673	2661
202	675	2651
203	676	2641
204	678	2631
205	680	2622
206	682	2613
207	684	2605
208	686	2596
209	687	2587
210	689	2578
211	691	2569
212	692	2560
213	694	2551
214	696	2543
215	698	2534
216	700	2526
217	701	2516
218	703	2507
219	705	2500
220	706	2491
221	709	2484
222	711	2477
223	712	2469
224	714	2462
225	717	2457
226	721	2456
227	723	2449
228	725	2441
229	727	2434
230	728	2426
231	736	2437
232	738	2430
233	740	2423
234	742	2415
235	743	2407
236	745	2399
237	746	2391
238	749	2386
239	751	2378
240	753	2371
241	754	2364
242	756	2356
243	758	2350
244	760	2342
245	762	2335
246	763	2328
247	765	2322
248	767	2316
249	770	2310
250	771	2303
251	774	2298
252	776	2292
253	778	2285
254	780	2279
255	782	2272
256	783	2266
257	785	2259
258	793	2269
259	795	2263
260	796	2256
261	798	2249
262	801	2244
263	802	2238
264	804	2232
265	806	2226
266	808	2218
267	809	2212
268	811	2205
269	813	2199
270	815	2192
271	817	2187
272	818	2180
273	820	2174
274	822	2168
275	824	2162
276	826	2156
277	828	2150
278	830	2145
279	831	2138
280	833	2132
281	835	2126
282	836	2120
283	838	2114
284	840	2108
285	842	2102
286	843	2096
287	845	2090
288	847	2084
289	848	2078
290	850	2072
291	853	2068
292	854	2063
293	856	2057
294	858	2051
295	860	2046
296	862	2041
297	864	2035
298	866	2030
299	867	2024
300	869	2018
301	871	2013
302	872	2007
303	874	2001
304	876	1997
305	894	2028
306	895	2022
307	897	2016
308	900	2012
309	902	2008
310	905	2007
311	907	2001
312	909	1995
313	911	1990
314	912	1985
315	914	1979
316	929	2002
317	931	1997
318	935	1996
319	937	1991
320	938	1985
321	940	1980
322	942	1974
323	943	1969
324	946	1965
325	948	1960
326	949	1954
327	951	1949
328	953	1943
329	954	1938
330	956	1933
331	958	1928
332	960	1924
333	962	1920
334	964	1914
335	966	1909
336	968	1904
337	970	1899
338	971	1895
339	973	1890
340	975	1885
341	977	1880
342	979	1875
343	980	1870
344	982	1865
345	984	1861
346	986	1857
347	988	1852
348	990	1847
349	992	1843
350	994	1839
351	996	1834
352	998	1829
353	1000	1825
354	1001	1820
355	1003	1815
356	1005	1810
357	1007	1805
358	1025	1831
359	1027	1826
360	1028	1821
361	1031	1817
362	1032	1812
363	1034	1807
364	1036	1802
365	1038	1798
366	1040	1794
367	1042	1789
368	1044	1785
369	1045	1780
370	1047	1775
371	1049	1771
372	1051	1767
373	1053	1763
374	1055	1759
375	1057	1754
376	1058	1749
377	1060	1745
378	1062	1740
379	1065	1738
380	1067	1734
381	1069	1730
382	1071	1726
383	1073	1721
384	1075	1717
385	1077	1713
386	1079	1709
387	1081	1705
388	1083	1701
389	1085	1697
390	1086	1693
391	1088	1688
392	1090	1684
393	1092	1679
394	1094	1675
395	1095	1671
396	1115	1694
397	1117	1690
398	1119	1686
399	1122	1684
400	1125	1681
401	1127	1677
402	1129	1673
403	1131	1669
404	1133	1664
405	1134	1660
406	1136	1656
407	1138	1652
408	1141	1648
409	1144	1646
410	1145	1642
411	1147	1637
412	1149	1633
413	1150	1628
414	1154	1627
415	1156	1623
